"Resultado" "Precio" "Marketing"
"exito" 68.3582016965374 147231.484856457
"exito" 87.290378077887 130234.625865705
"exito" 69.0117288148031 111030.142218806
"exito" 11.593607836403 157175.893289968
"exito" 19.5009117480367 179074.134747498
"exito" 46.1200857302174 163825.216912664
"exito" 20.3535240376368 131130.653200671
"exito" 59.0849239844829 169271.776545793
"exito" 37.3888069530949 167461.542529054
"exito" 14.1298123635352 175820.274231955
"exito" 9.61559405550361 184125.595074147
"exito" 70.2873911475763 124045.423977077
"exito" 7.75876734405756 167976.065538824
"exito" 23.4896342270076 107044.360344298
"exito" 95.9500159835443 164656.087756157
"exito" 79.5100129907951 110212.171729654
"exito" 38.6566451517865 195576.188387349
"exito" 97.6266647456214 174823.152320459
"exito" 9.5289922086522 115022.67124597
"exito" 58.1901331664994 130762.583948672
"fracaso" 159.872422753833 90851.3406477869
"fracaso" 79.5826019439846 123986.521717161
"fracaso" 90.3776057250798 73233.9272275567
"fracaso" 104.537891459186 82573.6411102116
"fracaso" 164.108526376076 121390.469819307
"fracaso" 81.7493163840845 108383.70628655
"fracaso" 74.6216697897762 113544.909469783
"fracaso" 115.890372442082 55788.4345762432
"fracaso" 67.93318831129 105273.594073951
"fracaso" 123.279482012149 97672.6277172565
"fracaso" 144.475964433514 113015.862926841
"fracaso" 94.3500866671093 80037.8438085318
"fracaso" 65.902807218954 63739.4623085856
"fracaso" 130.251622893848 114394.616875798
"fracaso" 129.30888779927 104800.789151341
"fracaso" 150.551218697801 122844.069693238
"fracaso" 145.429135342129 120451.68183744
"fracaso" 120.592042405624 99906.4550362527
"fracaso" 63.5082548949867 56615.7534718513
"fracaso" 87.6387749821879 128367.558829486
"fracaso" 146.412944595795 113145.51493153
"fracaso" 90.4538059816696 84208.5390351713
"fracaso" 70.9963548975065 120726.141501218
"fracaso" 116.959571824409 55513.0120925605
"fracaso" 83.9504690770991 114282.089453191
